"Order ID","Flavor","Category","$ Sales","Date Ordered","Date Delivered","Distribution Center","New Customer?","Service Satisfaction Rating","Product Satisfaction Rating",""
"92245","Pear","Smoothies","1982.27","1/10/2018","1/12/2018","MS","Yes","","",""
"92246","Tomato","Smoothies","1624.45","1/10/2018","1/12/2018","ND","No","4","",""
"92247","Carrot","Juices","411.28","1/10/2018","1/12/2018","ND","No","4","5",""
"92247","Orange","Smoothies","443.48","1/10/2018","1/12/2018","ND","No","","",""
"92252","Celery","Juices","215.24","1/10/2018","1/12/2018","WV","No","4","",""
"92252","Pear","Juices","1431.32","1/10/2018","1/12/2018","WV","No","4","",""
"92253","Cucumber","Juices","1212.89","1/10/2018","1/12/2018","WV","No","4","",""
"92253","Tomato","Juices","1730.99","1/10/2018","1/12/2018","WV","No","4","",""
"92265","Grape","Smoothies","36.91","1/12/2018","1/14/2018","ID","No","5","2",""
"92282","Beet","Juices","1602.19","1/13/2018","1/15/2018","WV","No","4","",""
"92282","Tomato","Juices","797.25","1/13/2018","1/15/2018","WV","No","4","2",""
"93213","Orange","Juices","1013.00","4/19/2018","4/21/2018","NE","No","3","",""
"92298","Cucumber","Juices","928.99","1/16/2018","1/18/2018","ND","Yes","1","5",""
"92298","Carrot","Smoothies","303.48","1/16/2018","1/18/2018","ND","Yes","1","2",""
"92301","Orange","Smoothies","1120.37","1/16/2018","1/18/2018","NE","No","1","",""
"92301","Apple","Juices","1946.57","1/16/2018","1/18/2018","NE","No","1","",""
"92301","Beet","Smoothies","1180.36","1/16/2018","1/18/2018","NE","No","1","",""
"92301","Celery","Juices","122.68","1/16/2018","1/18/2018","NE","No","1","5",""
"92301","Pear","Smoothies","291.04","1/16/2018","1/18/2018","NE","No","1","4",""
"93619","Orange","Juices","683.57","5/24/2018","5/26/2018","ID","Yes","1","",""
"92309","Celery","Juices","1838.30","1/16/2018","1/18/2018","RI","No","1","",""
"92309","Grape","Smoothies","1689.72","1/16/2018","1/18/2018","RI","No","1","",""
"92309","Apple","Smoothies","877.43","1/16/2018","1/18/2018","RI","No","1","3",""
"92309","Orange","Juices","1938.02","1/16/2018","1/18/2018","RI","No","","",""
"92311","Grape","Juices","1123.43","1/16/2018","1/18/2018","WV","No","1","2",""
"92311","Apple","Juices","160.81","1/16/2018","1/18/2018","WV","No","1","3",""
"92311","Beet","Smoothies","1441.67","1/16/2018","1/18/2018","WV","No","1","",""
"92364","Carrot","Juices","1819.89","1/24/2018","1/26/2018","ND","No","4","",""
"92370","Grape","Smoothies","1922.42","1/25/2018","1/27/2018","NE","No","3","",""
"92370","Beet","Smoothies","44.72","1/25/2018","1/27/2018","NE","No","3","4",""
"92372","Cucumber","Juices","420.79","1/25/2018","1/27/2018","NM","Yes","3","5",""
"92373","Carrot","Smoothies","1479.15","1/25/2018","1/27/2018","WV","No","3","",""
"92373","Orange","Juices","1320.51","1/25/2018","1/27/2018","WV","No","","",""
"92377","Grape","Smoothies","1087.47","1/26/2018","1/28/2018","MS","Yes","","4",""
"92377","Grape","Smoothies","477.20","1/26/2018","1/28/2018","MS","Yes","","1",""
"92377","Celery","Juices","1483.07","1/26/2018","1/28/2018","MS","Yes","3","",""
"92387","Orange","Smoothies","797.98","1/26/2018","1/28/2018","RI","Yes","","",""
"92387","Orange","Smoothies","1860.24","1/26/2018","1/28/2018","RI","Yes","","",""
"92388","Orange","Smoothies","683.62","1/26/2018","1/28/2018","RI","No","3","3",""
"92388","Cucumber","Smoothies","1969.33","1/26/2018","1/28/2018","RI","No","3","",""
"92411","Cucumber","Smoothies","33.71","1/31/2018","2/2/2018","NM","Yes","3","4",""
"92415","Orange","Smoothies","1211.27","2/1/2018","2/3/2018","MS","No","1","",""
"92416","Celery","Juices","237.74","2/1/2018","2/3/2018","NE","No","1","2",""
"92417","Pear","Smoothies","268.75","2/1/2018","2/3/2018","NE","Yes","1","5",""
"92418","Grape","Smoothies","1411.07","2/1/2018","2/3/2018","NM","No","1","",""
"92422","Grape","Juices","1907.85","2/1/2018","2/3/2018","WV","No","1","",""
"92422","Pear","Juices","567.45","2/1/2018","2/3/2018","WV","No","1","",""
"93953","Orange","Juices","34.54","7/2/2018","7/4/2018","NM","Yes","2","",""
"92430","Cucumber","Juices","1567.52","2/4/2018","2/6/2018","ID","No","2","3",""
"92432","Pear","Smoothies","1562.99","2/4/2018","2/6/2018","MS","No","2","",""
"92435","Tomato","Juices","411.07","2/4/2018","2/6/2018","ND","No","2","2",""
"92436","Apple","Smoothies","355.14","2/4/2018","2/6/2018","ND","No","2","2",""
"92439","Apple","Smoothies","56.30","2/5/2018","2/7/2018","ID","Yes","","3",""
"92441","Apple","Smoothies","1207.48","2/5/2018","2/7/2018","ID","Yes","3","",""
"92444","Celery","Smoothies","1402.74","2/5/2018","2/7/2018","MS","No","","",""
"92445","Grape","Smoothies","155.62","2/5/2018","2/7/2018","MS","Yes","","3",""
"92446","Celery","Juices","1200.57","2/5/2018","2/7/2018","MS","Yes","","",""
"92446","Carrot","Smoothies","1398.03","2/5/2018","2/7/2018","MS","Yes","","",""
"92447","Pear","Juices","1962.87","2/5/2018","2/7/2018","MS","No","","",""
"92447","Pear","Juices","397.63","2/5/2018","2/7/2018","MS","No","","5",""
"92447","Grape","Juices","1555.43","2/5/2018","2/7/2018","MS","No","","",""
"92450","Grape","Smoothies","1714.61","2/5/2018","2/7/2018","ND","Yes","5","",""
"92454","Tomato","Juices","403.94","2/5/2018","2/7/2018","NE","No","3","5",""
"92455","Apple","Juices","22.24","2/5/2018","2/7/2018","NE","Yes","","2",""
"92455","Apple","Juices","1820.02","2/5/2018","2/7/2018","NE","Yes","5","",""
"92455","Beet","Juices","27.99","2/5/2018","2/7/2018","NE","Yes","3","5",""
"92455","Orange","Smoothies","585.75","2/5/2018","2/7/2018","NE","Yes","2","5",""
"92457","Carrot","Juices","1704.46","2/5/2018","2/7/2018","NM","No","5","",""
"92457","Grape","Smoothies","1859.41","2/5/2018","2/7/2018","NM","No","3","",""
"92457","Pear","Juices","892.45","2/5/2018","2/7/2018","NM","No","1","",""
"92457","Apple","Smoothies","611.06","2/5/2018","2/7/2018","NM","No","2","",""
"92460","Apple","Juices","1985.79","2/5/2018","2/7/2018","RI","Yes","","",""
"92461","Carrot","Smoothies","199.55","2/5/2018","2/7/2018","RI","No","5","5",""
"92461","Cucumber","Juices","285.49","2/5/2018","2/7/2018","RI","No","3","4",""
"92463","Grape","Juices","1704.09","2/5/2018","2/7/2018","WV","No","5","",""
"92500","Pear","Juices","879.55","2/11/2018","2/13/2018","NE","Yes","2","3",""
"92506","Pear","Juices","582.12","2/12/2018","2/14/2018","MS","Yes","3","",""
"94052","Orange","Juices","497.56","7/11/2018","7/13/2018","ID","No","4","",""
"92508","Carrot","Juices","801.72","2/12/2018","2/14/2018","ND","Yes","2","",""
"92511","Orange","Smoothies","1680.59","2/12/2018","2/14/2018","NM","No","2","",""
"92511","Cucumber","Smoothies","84.21","2/12/2018","2/14/2018","NM","No","2","5",""
"92515","Orange","Smoothies","331.12","2/12/2018","2/14/2018","WV","No","2","2",""
"92515","Apple","Juices","446.06","2/12/2018","2/14/2018","WV","No","","5",""
"92515","Grape","Juices","46.47","2/12/2018","2/14/2018","WV","No","3","3",""
"92516","Carrot","Smoothies","1749.96","2/13/2018","2/15/2018","ID","No","4","",""
"92527","Grape","Smoothies","52.82","2/13/2018","2/15/2018","WV","No","4","3",""
"94129","Orange","Juices","486.39","7/18/2018","7/20/2018","WV","No","3","",""
"92535","Carrot","Juices","1723.46","2/15/2018","2/17/2018","MS","No","","",""
"92535","Grape","Smoothies","145.71","2/15/2018","2/17/2018","MS","No","","5",""
"92540","Orange","Juices","257.39","2/15/2018","2/17/2018","WV","No","","",""
"92557","Orange","Smoothies","1291.93","2/20/2018","2/22/2018","ND","No","1","4",""
"92604","Apple","Smoothies","1745.50","2/25/2018","2/27/2018","WV","Yes","2","",""
"92615","Cucumber","Juices","77.78","2/27/2018","3/1/2018","NE","No","4","3",""
"92651","Beet","Smoothies","1315.08","3/2/2018","3/4/2018","NM","No","2","",""
"92734","Cucumber","Smoothies","707.43","3/10/2018","3/12/2018","ID","No","2","",""
"92735","Apple","Juices","107.85","3/10/2018","3/12/2018","MS","Yes","5","4",""
"92735","Pear","Smoothies","883.59","3/10/2018","3/12/2018","MS","Yes","3","",""
"94521","Orange","Juices","276.35","8/27/2018","8/29/2018","RI","No","3","5",""
"92738","Beet","Juices","477.04","3/10/2018","3/12/2018","NM","No","3","",""
"92738","Apple","Smoothies","1645.02","3/10/2018","3/12/2018","NM","No","2","",""
"92738","Orange","Smoothies","664.50","3/10/2018","3/12/2018","NM","No","2","",""
"92740","Celery","Juices","65.27","3/10/2018","3/12/2018","RI","No","2","1",""
"92742","Pear","Smoothies","998.43","3/10/2018","3/12/2018","WV","No","3","",""
"92743","Pear","Juices","1273.41","3/10/2018","3/12/2018","WV","Yes","1","",""
"92744","Carrot","Juices","464.72","3/10/2018","3/12/2018","WV","No","5","3",""
"92744","Pear","Smoothies","1126.59","3/10/2018","3/12/2018","WV","No","3","3",""
"92819","Grape","Juices","1376.73","3/17/2018","3/19/2018","ID","Yes","3","",""
"92819","Grape","Smoothies","361.25","3/17/2018","3/19/2018","ID","Yes","2","2",""
"92820","Celery","Juices","463.66","3/17/2018","3/19/2018","MS","No","","5",""
"92824","Apple","Smoothies","785.71","3/17/2018","3/19/2018","NM","Yes","","1",""
"92828","Orange","Smoothies","1488.09","3/17/2018","3/19/2018","RI","Yes","","3",""
"92828","Apple","Smoothies","1291.45","3/17/2018","3/19/2018","RI","Yes","","",""
"92828","Orange","Smoothies","418.65","3/17/2018","3/19/2018","RI","Yes","3","4",""
"92828","Celery","Juices","918.16","3/17/2018","3/19/2018","RI","Yes","2","3",""
"92834","Tomato","Juices","871.26","3/18/2018","3/20/2018","ID","No","3","",""
"92839","Pear","Smoothies","1691.02","3/18/2018","3/20/2018","NE","Yes","3","",""
"92839","Orange","Smoothies","964.65","3/18/2018","3/20/2018","NE","Yes","5","",""
"92845","Grape","Juices","1402.34","3/18/2018","3/20/2018","RI","Yes","3","",""
"92845","Grape","Smoothies","245.64","3/18/2018","3/20/2018","RI","Yes","5","",""
"94521","Orange","Juices","842.38","8/27/2018","8/29/2018","RI","No","3","4",""
"92874","Beet","Juices","786.49","3/20/2018","3/22/2018","NE","No","3","",""
"92874","Carrot","Juices","397.48","3/20/2018","3/22/2018","NE","No","3","1",""
"92876","Apple","Juices","1619.59","3/20/2018","3/22/2018","NM","Yes","5","",""
"92877","Orange","Juices","1244.36","3/20/2018","3/22/2018","NM","No","","",""
"92880","Apple","Juices","640.39","3/20/2018","3/22/2018","RI","No","5","2",""
"92880","Celery","Juices","666.88","3/20/2018","3/22/2018","RI","No","3","3",""
"92880","Grape","Smoothies","1842.33","3/20/2018","3/22/2018","RI","No","3","",""
"92880","Pear","Juices","830.43","3/20/2018","3/22/2018","RI","No","3","5",""
"92918","Tomato","Juices","4.30","3/23/2018","3/25/2018","ID","No","2","3",""
"92923","Cucumber","Smoothies","258.30","3/23/2018","3/25/2018","NM","No","2","4",""
"92930","Carrot","Smoothies","1226.89","3/25/2018","3/27/2018","ID","No","1","",""
"92930","Cucumber","Juices","1119.43","3/25/2018","3/27/2018","ID","No","3","3",""
"92937","Apple","Smoothies","950.82","3/26/2018","3/28/2018","MS","Yes","","1",""
"92938","Orange","Smoothies","898.94","3/26/2018","3/28/2018","MS","No","","3",""
"92950","Pear","Smoothies","1303.83","3/27/2018","3/29/2018","MS","No","","4",""
"92950","Orange","Smoothies","738.19","3/27/2018","3/29/2018","MS","No","","4",""
"92953","Apple","Juices","662.56","3/27/2018","3/29/2018","NE","Yes","1","4",""
"92954","Beet","Juices","1036.74","3/27/2018","3/29/2018","NM","No","1","5",""
"92956","Carrot","Smoothies","295.35","3/27/2018","3/29/2018","RI","No","5","5",""
"92969","Celery","Juices","97.01","3/29/2018","3/31/2018","MS","Yes","","",""
"92969","Cucumber","Smoothies","307.56","3/29/2018","3/31/2018","MS","Yes","4","4",""
"92969","Cucumber","Juices","854.87","3/29/2018","3/31/2018","MS","Yes","4","",""
"92971","Celery","Juices","891.93","3/29/2018","3/31/2018","ND","No","4","",""
"92972","Carrot","Juices","1185.39","3/29/2018","3/31/2018","NE","No","4","",""
"92973","Apple","Juices","766.98","3/29/2018","3/31/2018","NM","No","5","",""
"94664","Orange","Juices","462.11","9/11/2018","9/13/2018","WV","No","3","5",""
"94859","Orange","Juices","144.96","10/2/2018","10/4/2018","ID","No","4","",""
"92975","Cucumber","Smoothies","519.88","3/29/2018","3/31/2018","WV","No","4","",""
"92978","Celery","Smoothies","1060.57","3/29/2018","3/31/2018","WV","No","4","",""
"92998","Cucumber","Juices","891.10","4/1/2018","4/3/2018","ID","No","3","2",""
"93003","Carrot","Smoothies","1350.52","4/1/2018","4/3/2018","ND","Yes","3","",""
"93031","Tomato","Juices","112.55","4/4/2018","4/6/2018","ND","Yes","2","5",""
"93031","Beet","Juices","574.23","4/4/2018","4/6/2018","ND","Yes","4","1",""
"93031","Carrot","Juices","955.96","4/4/2018","4/6/2018","ND","Yes","4","4",""
"93066","Apple","Juices","343.81","4/8/2018","4/10/2018","MS","Yes","","1",""
"93067","Carrot","Smoothies","325.48","4/8/2018","4/10/2018","MS","No","","2",""
"93068","Celery","Smoothies","1146.44","4/8/2018","4/10/2018","MS","No","","4",""
"94960","Orange","Juices","461.01","10/13/2018","10/15/2018","ID","Yes","1","",""
"93072","Grape","Juices","1003.03","4/8/2018","4/10/2018","ND","No","1","3",""
"93072","Apple","Smoothies","639.80","4/8/2018","4/10/2018","ND","No","2","5",""
"93072","Apple","Smoothies","1096.17","4/8/2018","4/10/2018","ND","No","","",""
"93074","Celery","Smoothies","4.98","4/8/2018","4/10/2018","NE","No","1","5",""
"93077","Apple","Smoothies","378.94","4/8/2018","4/10/2018","NM","No","1","5",""
"93080","Apple","Smoothies","1723.63","4/8/2018","4/10/2018","RI","No","1","5",""
"93082","Celery","Juices","802.23","4/8/2018","4/10/2018","RI","No","1","",""
"93087","Celery","Juices","748.30","4/8/2018","4/10/2018","WV","No","1","5",""
"93088","Celery","Smoothies","312.97","4/8/2018","4/10/2018","WV","Yes","1","4",""
"93088","Orange","Smoothies","1350.07","4/8/2018","4/10/2018","WV","Yes","","",""
"93092","Celery","Smoothies","991.32","4/9/2018","4/11/2018","ND","No","2","",""
"93098","Cucumber","Smoothies","138.85","4/9/2018","4/11/2018","NM","No","2","5",""
"93101","Apple","Smoothies","1513.75","4/9/2018","4/11/2018","RI","No","2","2",""
"93101","Apple","Smoothies","530.81","4/9/2018","4/11/2018","RI","No","2","3",""
"93101","Cucumber","Smoothies","1465.59","4/9/2018","4/11/2018","RI","No","2","",""
"93111","Apple","Juices","1965.46","4/10/2018","4/12/2018","ND","Yes","3","",""
"93111","Tomato","Juices","989.90","4/10/2018","4/12/2018","ND","Yes","4","5",""
"93118","Cucumber","Juices","740.55","4/11/2018","4/13/2018","ID","No","5","",""
"93144","Apple","Juices","1994.26","4/12/2018","4/14/2018","RI","No","","",""
"93148","Apple","Smoothies","1569.88","4/12/2018","4/14/2018","WV","Yes","","2",""
"93161","Beet","Juices","437.25","4/15/2018","4/17/2018","ID","No","2","5",""
"93164","Apple","Smoothies","743.22","4/15/2018","4/17/2018","ND","No","","2",""
"93164","Orange","Smoothies","684.48","4/15/2018","4/17/2018","ND","No","","5",""
"93167","Grape","Juices","1831.41","4/15/2018","4/17/2018","NM","Yes","2","",""
"95143","Orange","Juices","265.72","11/5/2018","11/7/2018","MS","Yes","3","",""
"93170","Orange","Smoothies","1587.04","4/15/2018","4/17/2018","WV","No","2","",""
"95362","Orange","Juices","526.17","11/24/2018","11/26/2018","WV","No","4","",""
"93206","Tomato","Juices","41.58","4/19/2018","4/21/2018","ND","No","1","1",""
"93206","Grape","Juices","1129.48","4/19/2018","4/21/2018","ND","No","3","5",""
"93206","Cucumber","Smoothies","1340.23","4/19/2018","4/21/2018","ND","No","3","",""
"93208","Tomato","Juices","268.18","4/19/2018","4/21/2018","ND","Yes","3","",""
"93209","Apple","Juices","1142.26","4/19/2018","4/21/2018","ND","Yes","3","",""
"93209","Pear","Juices","1666.95","4/19/2018","4/21/2018","ND","Yes","3","",""
"95449","Orange","Juices","568.81","12/5/2018","12/7/2018","NE","No","2","",""
"93213","Pear","Smoothies","11.68","4/19/2018","4/21/2018","NE","No","3","1",""
"95726","Orange","Juices","682.89","12/31/2018","1/2/2019","NM","No","3","",""
"93213","Apple","Smoothies","938.84","4/19/2018","4/21/2018","NE","No","4","",""
"93213","Tomato","Juices","672.17","4/19/2018","4/21/2018","NE","No","4","",""
"93214","Tomato","Juices","477.30","4/19/2018","4/21/2018","NM","Yes","3","",""
"93215","Carrot","Juices","755.07","4/19/2018","4/21/2018","NM","No","3","",""
"93216","Pear","Smoothies","337.69","4/19/2018","4/21/2018","NM","Yes","3","",""
"93217","Cucumber","Smoothies","1.31","4/19/2018","4/21/2018","NM","Yes","3","4",""
"93218","Tomato","Juices","1384.17","4/19/2018","4/21/2018","NM","No","5","",""
"93220","Grape","Juices","1473.47","4/19/2018","4/21/2018","NM","Yes","4","",""
"93221","Grape","Smoothies","1829.39","4/19/2018","4/21/2018","RI","Yes","1","",""
"93224","Carrot","Smoothies","1212.50","4/19/2018","4/21/2018","WV","No","3","",""
"93225","Grape","Juices","1998.88","4/19/2018","4/21/2018","WV","Yes","3","",""
"93256","Grape","Smoothies","1676.44","4/23/2018","4/25/2018","MS","No","2","",""
"93259","Pear","Juices","83.81","4/23/2018","4/25/2018","ND","No","2","",""
"95875","Orange","Juices","66.89","1/11/2019","1/13/2019","WV","Yes","2","",""
"93309","Pear","Juices","1291.08","4/26/2018","4/28/2018","MS","Yes","3","",""
"93310","Cucumber","Smoothies","28.75","4/26/2018","4/28/2018","ND","No","4","1",""
"93310","Cucumber","Smoothies","928.56","4/26/2018","4/28/2018","ND","No","4","4",""
"93312","Pear","Juices","962.36","4/26/2018","4/28/2018","NM","No","4","",""
"93312","Tomato","Smoothies","1892.63","4/26/2018","4/28/2018","NM","No","4","",""
"93312","Pear","Smoothies","832.47","4/26/2018","4/28/2018","NM","No","4","5",""
"93312","Pear","Juices","270.10","4/26/2018","4/28/2018","NM","No","4","3",""
"93313","Cucumber","Smoothies","1846.12","4/26/2018","4/28/2018","RI","No","4","",""
"93314","Celery","Juices","1299.32","4/26/2018","4/28/2018","RI","Yes","4","",""
"93314","Grape","Juices","361.45","4/26/2018","4/28/2018","RI","Yes","3","5",""
"93314","Apple","Smoothies","1716.77","4/26/2018","4/28/2018","RI","Yes","","4",""
"93376","Grape","Smoothies","383.53","5/2/2018","5/4/2018","MS","No","","",""
"93379","Tomato","Juices","1201.82","5/2/2018","5/4/2018","ND","No","3","2",""
"93379","Carrot","Juices","1316.54","5/2/2018","5/4/2018","ND","No","3","",""
"93381","Pear","Smoothies","1483.98","5/2/2018","5/4/2018","NE","No","3","3",""
"93384","Celery","Smoothies","1519.74","5/2/2018","5/4/2018","NM","Yes","3","1",""
"93384","Grape","Juices","1364.24","5/2/2018","5/4/2018","NM","Yes","1","",""
"93386","Celery","Juices","1088.19","5/2/2018","5/4/2018","RI","Yes","3","5",""
"93387","Cucumber","Smoothies","1448.45","5/2/2018","5/4/2018","RI","No","3","",""
"93387","Orange","Smoothies","318.04","5/2/2018","5/4/2018","RI","No","","4",""
"93389","Celery","Juices","952.70","5/2/2018","5/4/2018","WV","No","3","",""
"93389","Carrot","Juices","704.82","5/2/2018","5/4/2018","WV","No","3","",""
"93389","Apple","Juices","136.47","5/2/2018","5/4/2018","WV","No","","4",""
"93419","Cucumber","Juices","1797.09","5/5/2018","5/7/2018","ND","No","4","",""
"93419","Apple","Smoothies","17.91","5/5/2018","5/7/2018","ND","No","3","2",""
"93421","Beet","Juices","891.15","5/5/2018","5/7/2018","NE","No","1","",""
"93421","Carrot","Juices","788.45","5/5/2018","5/7/2018","NE","No","4","5",""
"93430","Apple","Smoothies","789.98","5/5/2018","5/7/2018","RI","Yes","1","1",""
"93430","Cucumber","Smoothies","1365.35","5/5/2018","5/7/2018","RI","Yes","3","",""
"95916","Orange","Juices","771.23","1/14/2019","1/16/2019","MS","No","3","",""
"93457","Beet","Smoothies","651.19","5/9/2018","5/11/2018","ID","No","5","4",""
"93457","Carrot","Juices","632.37","5/9/2018","5/11/2018","ID","No","5","3",""
"93508","Apple","Smoothies","853.10","5/13/2018","5/15/2018","ID","Yes","","5",""
"93508","Orange","Smoothies","1378.50","5/13/2018","5/15/2018","ID","Yes","","",""
"93509","Orange","Juices","882.28","5/13/2018","5/15/2018","ID","Yes","","5",""
"93510","Orange","Juices","62.78","5/13/2018","5/15/2018","MS","No","","4",""
"93510","Cucumber","Juices","1220.12","5/13/2018","5/15/2018","MS","No","","",""
"93510","Cucumber","Juices","752.15","5/13/2018","5/15/2018","MS","No","2","",""
"93510","Cucumber","Juices","456.79","5/13/2018","5/15/2018","MS","No","2","",""
"93513","Apple","Smoothies","652.12","5/13/2018","5/15/2018","NE","No","","",""
"93513","Apple","Smoothies","1587.78","5/13/2018","5/15/2018","NE","No","2","",""
"93516","Celery","Juices","449.06","5/13/2018","5/15/2018","NM","No","2","5",""
"93516","Tomato","Juices","685.72","5/13/2018","5/15/2018","NM","No","2","2",""
"93524","Apple","Juices","1081.70","5/14/2018","5/16/2018","RI","No","5","",""
"93525","Carrot","Juices","1737.51","5/14/2018","5/16/2018","RI","No","3","",""
"93575","Grape","Smoothies","854.84","5/19/2018","5/21/2018","RI","No","3","3",""
"93588","Beet","Smoothies","1663.03","5/21/2018","5/23/2018","ND","No","5","",""
"93591","Carrot","Juices","662.96","5/21/2018","5/23/2018","RI","No","5","",""
"93601","Grape","Smoothies","1214.20","5/22/2018","5/24/2018","RI","No","1","",""
"93604","Celery","Juices","1932.14","5/22/2018","5/24/2018","WV","No","1","",""
"93608","Tomato","Juices","397.41","5/23/2018","5/25/2018","ID","Yes","1","",""
"93608","Cucumber","Smoothies","464.71","5/23/2018","5/25/2018","ID","Yes","1","4",""
"93612","Cucumber","Juices","1690.71","5/23/2018","5/25/2018","ND","Yes","1","",""
"93613","Tomato","Smoothies","798.21","5/23/2018","5/25/2018","ND","No","1","1",""
"96630","Orange","Juices","339.08","3/14/2019","3/16/2019","MS","No","4","",""
"93619","Apple","Juices","1105.33","5/24/2018","5/26/2018","ID","Yes","1","",""
"93619","Tomato","Juices","780.54","5/24/2018","5/26/2018","ID","Yes","1","2",""
"93638","Orange","Juices","1087.08","5/25/2018","5/27/2018","WV","No","","4",""
"93640","Celery","Smoothies","1628.74","5/26/2018","5/28/2018","MS","No","5","",""
"93653","Grape","Smoothies","1941.51","5/31/2018","6/2/2018","ID","Yes","3","",""
"93655","Orange","Smoothies","1126.19","5/31/2018","6/2/2018","MS","Yes","","3",""
"93657","Apple","Juices","939.89","5/31/2018","6/2/2018","ND","No","4","5",""
"93657","Orange","Smoothies","94.94","5/31/2018","6/2/2018","ND","No","4","",""
"93658","Apple","Juices","1691.99","5/31/2018","6/2/2018","NE","Yes","","",""
"93658","Tomato","Smoothies","283.32","5/31/2018","6/2/2018","NE","Yes","4","5",""
"93658","Apple","Smoothies","1368.32","5/31/2018","6/2/2018","NE","Yes","4","2",""
"93658","Pear","Juices","1029.43","5/31/2018","6/2/2018","NE","Yes","3","2",""
"93660","Carrot","Juices","1090.10","5/31/2018","6/2/2018","RI","Yes","3","4",""
"93660","Celery","Juices","548.41","5/31/2018","6/2/2018","RI","Yes","3","2",""
"93663","Grape","Juices","1068.83","5/31/2018","6/2/2018","WV","No","4","5",""
"93676","Celery","Juices","879.05","6/1/2018","6/3/2018","MS","No","","",""
"93678","Grape","Juices","1886.54","6/1/2018","6/3/2018","MS","Yes","","",""
"93678","Celery","Smoothies","499.45","6/1/2018","6/3/2018","MS","Yes","","1",""
"93678","Orange","Smoothies","1147.44","6/1/2018","6/3/2018","MS","Yes","1","",""
"93684","Apple","Smoothies","537.47","6/1/2018","6/3/2018","ND","No","","2",""
"93692","Grape","Juices","524.36","6/1/2018","6/3/2018","NE","Yes","5","4",""
"96768","Orange","Juices","419.52","3/24/2019","3/26/2019","NM","No","5","",""
"93695","Beet","Juices","1646.20","6/1/2018","6/3/2018","NE","Yes","1","",""
"93695","Grape","Juices","379.89","6/1/2018","6/3/2018","NE","Yes","1","",""
"93710","Orange","Juices","993.12","6/1/2018","6/3/2018","RI","Yes","","4",""
"93717","Orange","Juices","1010.51","6/1/2018","6/3/2018","WV","No","","",""
"93717","Apple","Smoothies","519.48","6/1/2018","6/3/2018","WV","No","","",""
"93717","Celery","Smoothies","1009.06","6/1/2018","6/3/2018","WV","No","5","",""
"93733","Orange","Smoothies","1383.01","6/4/2018","6/6/2018","NE","No","4","",""
"96877","Orange","Juices","331.34","4/1/2019","4/3/2019","RI","No","3","",""
"93739","Apple","Smoothies","1271.26","6/5/2018","6/7/2018","ID","Yes","4","",""
"93774","Apple","Juices","1141.65","6/12/2018","6/14/2018","MS","No","","",""
"93776","Celery","Smoothies","125.07","6/12/2018","6/14/2018","NM","Yes","3","5",""
"93778","Grape","Smoothies","899.04","6/12/2018","6/14/2018","WV","Yes","3","",""
"93784","Grape","Juices","1315.47","6/14/2018","6/16/2018","MS","No","","",""
"93784","Grape","Smoothies","376.10","6/14/2018","6/16/2018","MS","No","","",""
"93786","Orange","Smoothies","1338.67","6/14/2018","6/16/2018","ND","Yes","","",""
"93786","Orange","Juices","1619.59","6/14/2018","6/16/2018","ND","Yes","","",""
